neighb_code,nr_residents,male,female,age0_15,age15_25,age25_45,age45_65,age65plus,low,middle,high
BU03630000,1035,610,420,45,100,575,250,75,60,210,750
BU03630001,705,400,300,30,120,365,140,60,50,200,410
BU03630002,1570,860,710,100,230,760,330,170,70,180,1190
BU03630003,350,180,170,25,60,185,65,30,20,80,230
BU03630004,625,345,280,40,80,275,155,80,40,130,450
BU03630101,600,330,265,25,85,340,120,40,50,130,370
BU03630102,465,265,195,20,80,260,90,25,40,140,250
BU03630103,805,430,370,45,110,440,150,70,90,280,390
BU03630104,825,470,355,60,115,475,140,45,80,190,500
BU03630105,730,395,330,55,110,350,165,65,40,200,440
BU03630106,420,170,250,10,50,225,75,75,30,70,280
BU03630107,265,150,110,10,55,135,50,15,10,70,210
BU03630200,1840,975,865,165,190,595,510,395,60,390,1130
BU03630201,1810,940,865,140,345,600,460,275,150,350,1110
BU03630202,2035,1075,955,135,240,745,615,315,110,340,1360
BU03630203,685,375,305,45,85,250,195,120,410,50,130
BU03630300,810,455,355,80,75,355,205,105,100,150,450
BU03630301,130,75,55,10,15,50,35,30,70,20,40
BU03630302,1425,730,695,130,190,490,375,260,100,260,840
BU03630303,1505,785,720,160,210,440,470,240,80,360,830
BU03630304,475,260,210,20,50,285,85,45,30,140,310
BU03630305,380,220,155,20,90,220,55,10,,,
BU03630306,645,370,275,55,85,245,175,105,30,110,410
BU03630400,470,270,200,55,30,215,135,50,60,70,280
BU03630401,730,360,370,55,125,295,165,105,30,150,480
BU03630402,985,475,510,100,210,360,235,95,130,180,590
BU03630403,1065,555,505,95,110,400,310,160,70,270,610
BU03630404,1630,790,840,125,150,425,535,405,170,410,780
BU03630405,1175,625,550,85,105,435,375,190,110,280,680
BU03630406,1210,625,580,105,125,385,350,260,90,210,680
BU03630407,1510,845,660,80,175,480,485,300,170,360,810
BU03630408,875,455,415,80,85,310,260,155,90,200,450
BU03630500,1915,975,940,290,145,560,570,365,290,300,920
BU03630501,1510,755,750,130,155,575,425,240,130,260,910
BU03630502,2480,1245,1230,235,250,840,740,425,710,500,870
BU03630503,2905,1395,1510,305,285,885,945,495,290,540,1660
BU03630505,335,170,160,20,20,195,80,30,,,
BU03630506,155,85,70,15,10,55,65,25,20,40,80
BU03630600,2720,1380,1340,230,240,1115,755,390,170,320,1900
BU03630602,2925,1440,1485,290,295,1080,785,490,720,370,1380
BU03630603,1465,725,740,125,130,545,430,250,110,210,890
BU03630604,935,525,410,50,110,515,200,75,130,290,470
BU03630605,190,105,85,15,25,115,30,15,20,40,110
BU03630606,4325,2190,2135,355,400,1650,1215,720,380,970,2410
BU03630607,860,455,405,55,80,315,250,175,60,120,580
BU03630608,240,115,120,5,50,140,35,15,,,
BU03630609,685,365,320,35,30,290,140,200,50,150,310
BU03630610,2100,1060,1040,205,220,675,645,365,270,490,1020
BU03630611,2950,1490,1460,250,255,945,985,530,300,680,1550
BU03630700,255,145,105,10,35,145,55,20,10,100,140
BU03630701,145,70,70,15,25,70,30,20,10,50,70
BU03630702,990,495,490,40,220,515,155,75,120,250,540
BU03630703,305,165,140,30,40,125,80,40,20,70,160
BU03630704,2420,1205,1210,280,250,1100,520,280,70,280,1730
BU03630705,1060,570,490,120,125,365,280,180,70,290,520
BU03630706,1155,590,560,105,115,395,350,200,80,500,430
BU03630707,915,475,435,100,85,325,270,145,80,150,550
BU03630800,3325,1785,1535,220,465,1230,840,580,250,740,1700
BU03630801,2150,1165,985,190,290,875,600,205,270,360,1280
BU03630803,1850,940,905,195,245,570,525,325,160,270,1090
BU03630804,405,215,185,55,45,185,95,40,30,70,230
BU03630900,80,45,35,15,5,30,35,10,0,10,60
BU03630901,1710,805,900,150,380,455,385,350,300,470,660
BU03630902,2190,1100,1085,210,210,725,730,325,540,640,990
BU03630903,1725,885,840,210,170,625,530,205,250,330,930
BU03630904,2385,1205,1175,270,260,1115,520,230,470,570,1010
BU03630905,1375,700,675,295,205,365,400,120,120,230,680
BU03630907,960,450,505,65,120,305,305,180,120,170,560
BU03630908,2810,1405,1405,275,220,785,1000,540,280,700,1520
BU03631000,30,15,10,5,5,15,10,5,,,
BU03631001,5,5,0,0,0,10,0,5,,,
BU03631002,0,0,0,0,0,0,5,0,,,
BU03631003,25,15,10,5,5,15,10,5,,,
BU03631004,5,0,5,0,5,5,5,0,,,
BU03631005,80,55,25,5,5,25,45,5,,,
BU03631006,5,0,0,0,5,0,5,5,,,
BU03631007,10,5,5,5,5,5,5,5,,,
BU03631100,25,20,5,5,0,20,5,0,,,
BU03631102,0,0,0,0,0,0,0,0,,,
BU03631103,80,60,15,5,40,30,10,5,,,
BU03631104,20,15,5,5,5,5,15,5,,,
BU03631105,730,415,315,5,340,380,15,0,,,
BU03631107,0,0,0,0,0,5,0,0,,,
BU03631109,0,0,0,0,0,0,0,0,,,
BU03631200,1735,885,845,355,95,820,395,80,90,300,1280
BU03631201,655,340,315,60,45,165,280,120,60,120,390
BU03631300,2080,990,1090,325,195,820,530,225,260,440,980
BU03631301,2755,1370,1380,335,255,950,890,335,510,800,1000
BU03631302,1010,485,520,120,90,395,280,140,,,
BU03631303,1670,830,840,205,100,665,345,365,310,250,710
BU03631304,1295,675,620,180,125,560,325,115,170,630,280
BU03631305,1950,970,980,250,160,850,515,190,360,300,980
BU03631306,0,0,0,0,0,0,0,0,,,
BU03631307,5,5,0,0,5,5,5,5,,,
BU03631400,1380,695,685,180,115,585,350,160,140,220,800
BU03631401,885,435,445,75,90,240,325,160,220,220,320
BU03631402,1205,605,600,110,100,360,365,285,230,230,530
BU03631403,3720,1875,1845,430,320,1730,995,255,490,830,1900
BU03631404,2875,1435,1435,320,260,1525,665,115,330,520,1690
BU03631405,3090,1550,1535,395,295,1285,845,285,320,480,1790
BU03631500,1345,635,710,200,220,300,525,115,150,340,620
BU03631501,10,5,5,5,0,5,5,5,,,
BU03631502,70,40,30,15,10,20,30,5,,,
BU03631503,1050,500,550,100,110,435,265,145,160,130,620
BU03631600,3845,1840,2005,420,335,1765,910,420,470,600,2250
BU03631601,3250,1720,1525,295,230,1665,765,305,970,530,1380
BU03631602,1210,580,630,110,105,335,405,270,110,220,630
BU03631700,4640,2325,2310,465,400,2085,1125,575,350,930,2690
BU03631800,2725,1430,1295,300,240,1240,705,255,620,720,980
BU03631801,3795,1890,1900,415,380,1980,755,280,410,800,2180
BU03631900,2250,1175,1075,210,225,1205,445,175,200,670,1130
BU03631901,2875,1355,1520,285,275,870,830,625,880,560,910
BU03631902,1895,945,950,190,150,905,485,175,400,340,940
BU03632000,2635,1275,1360,350,295,1185,565,255,140,770,1300
BU03632001,2515,1230,1285,250,235,835,780,430,260,430,1430
BU03632002,2305,1120,1180,280,210,1110,550,160,200,420,1340
BU03632100,5710,2810,2895,605,495,2980,1225,420,470,1070,3490
BU03632101,2205,1040,1160,250,265,925,490,285,180,400,1310
BU03632200,935,495,440,115,115,330,250,135,90,160,460
BU03632201,900,450,450,120,95,235,255,205,120,190,370
BU03632300,480,265,210,50,20,340,65,15,20,80,350
BU03632301,0,0,0,0,0,0,0,0,,,
BU03632302,160,95,65,15,15,110,20,10,10,40,70
BU03632303,2240,1235,1000,270,145,1390,345,95,170,390,1590
BU03632304,960,445,510,40,440,440,45,5,10,440,480
BU03632400,2540,1295,1240,300,290,1155,595,210,200,570,1440
BU03632401,1995,1030,960,180,235,930,450,210,400,460,830
BU03632402,2600,1285,1310,235,270,1310,570,230,680,470,1170
BU03632403,2585,1295,1290,190,315,1330,535,230,390,380,1590
BU03632404,5030,2545,2480,380,630,2545,1050,440,940,790,2780
BU03632500,2615,1225,1390,190,285,1190,550,415,330,580,1300
BU03632501,3805,1880,1920,385,355,1900,825,350,680,720,1990
BU03632502,2435,1165,1265,245,250,1030,580,335,340,440,1250
BU03632503,3515,1675,1840,345,360,1665,740,420,440,710,1870
BU03632600,3140,1525,1610,385,375,1055,855,480,670,890,970
BU03632601,2805,1315,1485,285,310,1005,775,440,470,530,1370
BU03632602,2250,1080,1165,265,190,775,640,395,360,450,1060
BU03632700,2005,1020,980,235,220,985,420,155,120,380,1230
BU03632701,3300,1675,1625,405,280,1540,730,355,320,540,1960
BU03632702,520,255,265,40,290,145,50,10,90,280,150
BU03632800,3860,1900,1960,335,415,1780,890,450,430,620,2260
BU03632801,120,60,60,5,15,60,45,15,10,40,70
BU03632802,3775,1865,1910,515,385,1485,955,445,460,720,1960
BU03632803,3090,1570,1515,415,310,1240,795,340,850,720,1070
BU03632900,4340,2110,2230,485,490,1730,1010,640,850,970,1790
BU03632901,3815,1885,1925,410,485,1530,970,430,780,770,1720
BU03632902,2025,1015,1010,325,240,705,470,295,390,330,890
BU03633000,4150,2040,2105,500,565,1580,1035,485,1330,860,1290
